0,0.227,0.0891,1.51,0.0176,0.175,0.0743,1.27,0.0156,117,31,508,5.89,0
0,0.249,0.0939,1.68,0.0177,0.196,0.0733,1.41,0.0157,125,38.6,608,5.93,0
0,0.261,0.117,2.19,0.0179,0.195,0.0925,1.92,0.016,135,43.7,985,6.19,0
0,0.248,0.11,1.91,0.0177,0.182,0.0824,1.6,0.0158,123,41.6,855,6.07,0
0,0.231,0.0834,1.87,0.0179,0.183,0.0649,1.61,0.0159,102,30,709,5.88,0
0,0.227,0.0919,2.06,0.0179,0.176,0.0705,1.8,0.0158,98,29.5,833,6.19,0
0,0.277,0.111,2.15,0.0178,0.206,0.0836,1.88,0.0158,146,49.3,927,6.13,0
0,0.264,0.112,2.32,0.0179,0.204,0.0896,2.06,0.0158,144,43.1,1180,6.24,0
0,0.27,0.103,2.18,0.0177,0.204,0.0811,1.9,0.0157,141,40.7,1090,6.06,0
0,0.315,0.125,2.21,0.018,0.229,0.0884,1.92,0.016,163,50.6,1120,6.2,0
0,0.289,0.124,2.37,0.0181,0.218,0.0929,2.11,0.0159,151,56.7,1120,6.45,0
0,0.296,0.109,2.01,0.0177,0.238,0.0852,1.7,0.0158,156,47.4,976,6.11,0
0,0.254,0.152,2.26,0.0179,0.184,0.124,1.98,0.0158,137,57,1130,6.33,0
0,0.388,0.166,2.45,0.018,0.28,0.13,2.21,0.0158,208,63.8,1220,6.26,0
0,0.232,0.139,1.94,0.018,0.171,0.116,1.68,0.0159,122,46.5,716,6.14,0
0,0.218,0.148,2.13,0.0178,0.165,0.125,1.84,0.0157,128,51.3,974,6.01,0
0,0.295,0.159,2.25,0.0179,0.212,0.13,1.99,0.0158,156,57.1,999,6.33,0
0,0.288,0.164,2.17,0.0176,0.22,0.136,1.89,0.0155,157,63.3,1050,6.08,0
0,0.21,0.136,2.06,0.018,0.155,0.11,1.78,0.0158,97.9,44.9,868,6.09,0
0,0.312,0.156,2.17,0.0179,0.233,0.129,1.88,0.0157,168,60.6,1010,6.32,0
0,0.374,0.168,2.35,0.0181,0.276,0.135,2.1,0.0159,200,60.4,1130,6.48,0
0,0.253,0.135,2.11,0.0182,0.191,0.113,1.83,0.0161,141,48.1,940,6.43,0
0,0.295,0.149,2.21,0.0183,0.221,0.122,1.93,0.0161,161,53.7,1050,6.51,0
0,0.247,0.136,2.09,0.0182,0.185,0.117,1.8,0.016,133,46.8,950,6.31,0
0,0.293,0.146,2.28,0.0186,0.222,0.121,2.01,0.0162,163,56.2,1080,6.85,0
0,0.233,0.144,2.12,0.0182,0.169,0.118,1.83,0.016,127,70.9,1050,6.36,0
0,0.195,0.132,1.82,0.0182,0.15,0.112,1.53,0.0161,117,48.1,828,6.22,0
0,0.219,0.119,2.08,0.0181,0.163,0.1,1.8,0.016,119,41.4,917,6.27,0
0,0.238,0.115,2.05,0.0182,0.184,0.0962,1.76,0.016,121,40.6,924,6.39,0
0,0.266,0.128,1.76,0.018,0.202,0.101,1.48,0.016,139,48.7,709,6.16,0
0,0.189,0.0751,2.2,0.0171,0.149,0.0622,1.92,0.0152,89.1,25.2,1000,5.75,0
0,0.192,0.107,1.94,0.0179,0.144,0.0892,1.68,0.0158,98.6,37,799,6.14,0
0,0.247,0.176,2.2,0.0184,0.184,0.147,1.93,0.0162,123,56,969,6.18,0
0,0.301,0.174,2.34,0.0181,0.237,0.143,2.09,0.0159,152,64.4,1090,6.16,0
