-17,430,5019,-1522,
-59,2119,10085,707,
-51,2433,7258,4917,
-46,2446,4785,7276,
-36,2252,1307,10200,
-31,1865,-1711,11785,
-30,1511,-4130,12038,
-22,892,-6214,10740,
-19,51,-8689,8504,
-20,-802,-11050,5633,
-19,-1523,-10331,2311,
-6,-2148,-6604,-1337,
8,-2653,-3077,-5225,
15,-2817,-2135,-7844,
21,-2610,-2610,-10351,
25,-2119,-758,-11349,
23,-1459,3850,-9590,
21,-628,7915,-8067,
16,305,9275,-6357,
12,1076,8116,-4635,
1,1650,5563,-914,
-13,2155,5795,1778,
-12,2497,7814,3204,
-13,2533,6991,6409,
-22,2271,3052,9334,
-29,1910,-1537,10416,
-32,1525,-4670,10340,
-27,899,-6622,9405,
-14,47,-7918,7896,
-12,-854,-8949,6180,
-13,-1584,-9082,3324,
-9,-2204,-7919,-435,
4,-2673,-5843,-3878,
16,-2792,-3875,-7081,
21,-2584,-2140,-10373,
22,-2105,476,-11552,
17,-1453,3474,-10846,
-6,-589,5967,-10292,
-27,346,7713,-9691,
-29,1088,9117,-7988,
-24,1670,9548,-2691,
-20,2194,8354,2560,
-17,2486,6411,5149,
-20,2471,4430,8378,
-24,2215,1876,12505,
-23,1485,-1491,15013,
-14,836,-4319,13959,
-8,-45,-6228,10591,
-6,-903,-7514,7483,
-4,-1588,-8733,5370,
-10,-2176,-8934,2805,
-19,-2670,-7347,-1004,
-30,-2800,-4992,-4833,
-41,-2525,-3195,-8025,
-46,-2006,-1822,-10029,
-42,-1319,584,-10524,
-35,-490,3315,-10590,
-36,359,5482,-10999,
-35,1076,7065,-10129,
-22,1648,8388,-6238,
1,2141,9489,-1796,
19,2451,9295,1054,
20,2444,7231,3226,
12,2180,4543,6348,
5,1829,1725,9510,
6,1424,-1606,11410,
-7,765,-4693,11563,
-21,-98,-7884,9757,
-17,-943,-9885,7836,
-15,-1645,-9717,5726,
-12,-2258,-7721,3269,
3,-2701,-5205,91,
13,-2792,-3938,-3581,
4,-2531,-3439,-7164,
-8,-2027,-2500,-10910,
-15,-1357,-133,-10163,
-12,-519,3090,-8761,
-13,388,5854,-9836,
-19,1160,7611,-9947,
-20,1757,8856,-5663,
-20,2269,9426,251,
-20,2565,8439,2490,
-21,2516,6202,3477,
-20,2226,3688,6885,
-7,1908,1235,10434,
9,1485,-1004,11529,
22,756,-3571,11057,
37,-131,-6542,9485,
44,-969,-8373,8255,
47,-1701,-9273,6670,
42,-2342,-9064,3779,
26,-2742,-7584,369,
8,-2804,-5583,-3670,
-8,-2544,-3703,-7177,
-27,-2004,-1434,-9689,
-33,-1293,1456,-11075,
-26,-430,4094,-11269,
-22,494,6459,-10956,
-18,1251,7993,-9334,
-17,1825,8750,-5770,
-28,2292,8762,-2243,
-42,2521,7947,601,
-37,2470,7015,3854,
-22,2188,4931,7751,
-4,1827,1244,10299,
15,1393,-3175,10877,
16,698,-7112,10379,
15,-169,-7963,8331,
26,-1015,-6000,5777,
24,-1739,-4782,4533,
11,-2370,-6135,2622,
-3,-2748,-8100,-1146,
-13,-2764,-6884,-4054,
-13,-2484,-4513,-5661,
-13,-1953,-2658,-7505,
-12,-1255,-37,-9230,
-7,-429,2181,-10160,
-4,443,4423,-10552,
-3,1210,7813,-9829,
7,1811,11430,-4055,
22,2283,12380,4215,
24,2532,9736,6901,
18,2499,6421,5709,
11,2208,3362,5928,
3,1853,194,7576,
8,1395,-2867,8473,
6,638,-5538,7096,
1,-268,-7372,6636,
14,-1110,-8501,7370,
28,-1789,-9102,6336,
31,-2400,-8732,4182,
16,-2816,-7287,1815,
-12,-2812,-5137,-2079,
-28,-2480,-3258,-7137,
-35,-1932,-1183,-10557,
-37,-1209,1701,-11164,
-42,-341,4872,-11584,
-53,526,7386,-12129,
-59,1258,8765,-11479,
-55,1857,9988,-7763,
-50,2346,10035,-1600,
-47,2585,8205,2342,
-44,2499,5695,4384,
-43,2177,2749,7166,
-35,1812,-337,10504,
-32,1335,-3126,13327,
-33,572,-5851,14304,
-27,-305,-7894,12322,
-18,-1105,-8905,8814,
-1,-1778,-8270,5682,
6,-2367,-6992,2640,
0,-2738,-6333,-1125,
4,-2756,-4786,-5521,
14,-2459,-3341,-8334,
18,-1904,-2778,-9773,
26,-1163,-503,-10783,
35,-289,3557,-11146,
37,577,6946,-10315,
34,1277,7693,-8429,
33,1852,8171,-4860,
39,2322,9512,-113,
44,2530,9210,2695,
45,2436,6817,3743,
49,2118,3974,5892,
39,1770,871,8779,
18,1305,-2599,11627,
1,550,-5094,11937,
-2,-325,-5303,10313,
-3,-1122,-5220,9096,
-4,-1815,-6334,6401,
2,-2403,-6886,1787,
2,-2736,-6625,-1814,
-2,-2747,-6042,-4242,
0,-2416,-4688,-7824,
-8,-1857,-2277,-10861,
-32,-1135,539,-11606,
-46,-261,3639,-11386,
-47,621,6188,-11296,
-39,1348,7663,-10025,
-25,1908,8113,-6763,
-18,2367,7856,-2709,
-10,2559,6772,220,
-2,2443,5618,3546,
-1,2125,4486,8293,
-4,1747,837,14694,
-12,1243,-5299,18972,
-19,462,-9643,16957,
-16,-424,-8821,12771,
-4,-1213,-4565,8263,
8,-1891,-3233,5353,
12,-2483,-6516,2455,
11,-2775,-7944,-2881,
6,-2723,-6347,-9036,
-3,-2365,-4481,-13179,
-16,-1788,-2054,-13996,
-22,-1063,1689,-12540,
-24,-188,5468,-11872,
-26,693,7999,-11186,
-15,1405,8588,-7954,
9,1986,8060,-788,
20,2450,7578,5963,
30,2622,6793,6541,
41,2485,6610,3603,
48,2137,5949,2836,
29,1774,2539,7175,
1,1278,-1654,11082,
-10,482,-5597,12707,
-4,-443,-9463,14621,
3,-1294,-11408,11935,
10,-2013,-12527,4924,
21,-2584,-11011,-1447,
18,-2839,-4512,-4181,
14,-2762,1538,-6393,
14,-2377,2287,-8923,
2,-1773,-1112,-10266,
-11,-1015,-2030,-11563,
-25,-131,2266,-10259,
-36,710,6605,-6243,
-38,1377,8513,-885,
-35,1948,9761,1626,
-34,2440,10475,-998,
-26,2613,8681,-3190,
-12,2460,4910,-2178,
-3,2123,3005,-296,
12,1750,1271,1571,
23,1214,-2318,9390,
27,395,-6451,15547,
31,-497,-10595,12115,
28,-1277,-12013,8587,
21,-1970,-10326,6002,
21,-2550,-7878,2289,
12,-2797,-5817,-2417,
-1,-2703,-4437,-8129,
-14,-2302,-3666,-10749,
-19,-1713,-267,-8415,
-18,-974,5047,-6069,
-8,-51,7053,-6452,
7,837,9381,-6235,
14,1498,14297,-2627,
11,2018,16497,4584,
11,2419,12826,8201,
10,2554,8098,4058,
13,2330,4705,757,
17,1913,172,1771,
23,1583,-5522,4688,
22,1167,-9405,6087,
18,450,-9593,6026,
10,-446,-8831,6665,
2,-1221,-11511,5535,
9,-1867,-11199,3039,
23,-2487,-6103,2457,
25,-2846,648,-458,
12,-2780,4700,-7408,
0,-2313,2081,-9744,
-12,-1660,-2236,-7282,
-13,-952,-4253,-3998,
-2,-206,-2176,-3233,
1,604,-879,-7818,
0,1414,-2317,-10562,
-4,2064,1514,-7585,
-11,2496,7634,-2279,
-19,2658,6661,5279,
-27,2529,2708,7832,
-27,2200,6113,3869,
-21,1798,10842,6665,
