-4,123,-8532,-1533,
-42,284,-10419,-2558,
-266,680,8841,493,
-417,981,19892,4433,
-480,1184,27605,5293,
-543,1279,30193,3262,
-583,1143,23292,261,
-535,830,8447,-1096,
-358,452,-4102,1356,
-157,142,-7418,5485,
-47,-212,-6260,7728,
84,-529,-1352,4020,
333,-684,-2349,-1590,
515,-776,-8847,-993,
589,-954,-11973,450,
626,-1186,-16025,-4259,
614,-1308,-17616,-6592,
558,-1271,-10937,-4687,
433,-979,-1951,-2121,
281,-463,4536,465,
-1,29,14835,-405,
-339,447,20030,-2380,
-470,835,13309,-3890,
-448,1077,1097,-6556,
-383,1129,-8508,-4621,
-417,1096,-9139,2916,
-483,963,-4386,9793,
-385,631,-913,10771,
-175,270,-793,7799,
7,175,-1353,4877,
122,236,-7041,3668,
195,58,-14493,1182,
281,-397,-10369,-1746,
422,-770,-1465,-1862,
559,-974,3773,-1624,
582,-1310,7982,-3158,
502,-1632,13072,-4070,
459,-1579,14786,-4999,
390,-1284,4310,-6377,
238,-880,-13346,-5680,
62,-368,-23787,-4481,
-147,223,-21021,-2348,
-383,789,-6035,-297,
-550,1194,11399,554,
-566,1389,24033,2634,
-481,1277,31500,4127,
-429,1012,28389,4364,
-256,673,14016,5242,
-135,345,32,5285,
-105,135,-7016,5346,
-18,-94,-7809,6126,
237,-422,-7150,4039,
407,-726,-11247,1462,
400,-989,-17318,-969,
472,-1246,-13900,-3324,
580,-1356,-3114,-2878,
599,-1230,1353,-1735,
434,-992,-1394,-2958,
167,-649,3284,-4296,
75,-212,8678,-4925,
25,268,5976,-4511,
-139,650,-2669,-3134,
-346,860,-3790,-2961,
-452,993,2623,-1721,
-423,1117,184,771,
-338,1119,-3769,2111,
-306,907,-11586,1984,
-264,584,-19470,1422,
-155,270,-17743,1437,
-152,60,-7942,5376,
-30,-174,8527,11552,
218,-495,22374,12320,
402,-782,31161,8777,
528,-986,27389,4746,
604,-1149,-3153,517,
580,-1244,-23643,-3590,
497,-1178,-21518,-4625,
371,-964,-19505,-5967,
221,-614,-12510,-9077,
