1103,-386,-1002,56,
3641,-542,-7844,186,
2046,-282,-14186,307,
311,-200,-19052,330,
-1387,-60,-22958,244,
-3283,106,-22753,164,
-5255,289,-19410,121,
-7083,458,-12292,145,
-8234,580,-3040,180,
-8221,653,4499,191,
-6927,764,10479,160,
-4735,786,14502,64,
-1824,624,16449,-34,
1289,407,17489,-34,
4075,202,17684,69,
6143,-37,16616,155,
7045,-297,14329,181,
6695,-486,13857,178,
5568,-634,14315,134,
4725,-735,8165,105,
4207,-648,-1290,109,
3136,-465,-9564,187,
1441,-290,-16400,317,
-534,-128,-21564,325,
-2472,-15,-24336,238,
-3974,116,-22808,158,
-4948,230,-16141,119,
-5322,314,-7498,152,
-5290,357,-1599,185,
-4575,372,3740,202,
-2975,473,10577,170,
-1646,542,15118,68,
-851,484,15960,-33,
-24,376,15788,-36,
1240,279,16361,68,
2453,117,16140,157,
3563,-147,14092,185,
4769,-338,13468,180,
5387,-477,12601,133,
5849,-618,7473,108,
5777,-588,-601,118,
4326,-434,-9352,201,
1960,-282,-16269,323,
-749,-181,-20869,321,
-3021,-74,-23361,230,
-4507,130,-21656,147,
-5568,340,-17647,108,
-6442,491,-11079,144,
-6841,516,-3438,186,
-5920,480,2654,205,
-3932,522,7873,170,
-2083,532,10989,66,
-536,430,14620,-29,
965,269,18664,-23,
2541,95,18669,80,
4174,-113,14052,157,
5272,-337,10155,178,
5735,-492,12410,171,
5840,-600,12883,126,
6033,-689,7277,104,
6016,-650,909,119,
5043,-518,-5670,213,
3202,-373,-9266,338,
871,-214,-13003,322,
-1833,-59,-17282,230,
-4822,112,-17555,150,
-7542,288,-16292,112,
-9346,465,-10111,148,
-9963,582,-5481,186,
-8989,610,-5705,204,
-6805,641,-555,169,
-4079,647,6886,58,
-1142,565,13597,-44,
1615,405,19836,-34,
3973,217,23870,82,
5820,-2,23892,166,
6811,-243,17954,193,
6883,-399,12575,185,
6497,-484,9290,128,
6316,-529,4399,96,
5807,-478,-3200,111,
4815,-416,-11471,202,
3435,-355,-20629,319,
1501,-278,-27544,309,
-484,-190,-30708,229,
-3236,24,-32768,163,
-6276,230,-27707,141,
-8025,360,-10571,172,
-9000,465,8969,192,
-9467,525,20445,192,
-7870,629,25638,145,
-4560,646,20927,46,
-1141,479,11182,-34,
1840,270,8718,-10,
4315,54,8853,98,
6242,-240,8615,167,
7081,-545,11990,179,
6449,-706,22055,161,
5434,-774,30471,114,
5112,-737,24563,100,
4482,-542,4037,118,
3138,-415,-16943,218,
1868,-320,-29819,343,
832,-161,-32768,327,
-524,-25,-29931,242,
-2219,157,-19322,160,
-4271,339,-11083,119,
-6510,445,-11134,148,
-8183,529,-14194,182,
-8759,610,-14053,190,
-7696,693,-6999,151,
-5344,707,4270,54,
-2533,576,20509,-29,
54,342,31922,-5,
1955,168,32227,106,
4411,7,31445,162,
7034,-211,31779,160,
7753,-393,28410,145,
7230,-536,11638,115,
7234,-585,-10441,107,
6897,-522,-24612,132,
5561,-490,-26151,235,
3139,-453,-22561,349,
-59,-286,-20931,328,
-3209,-48,-16016,232,
-6012,157,-14378,148,
-7423,302,-20630,121,
-7912,421,-26106,152,
-8692,525,-25023,181,
-8557,595,-19325,200,
-6478,600,-3078,164,
-3499,487,22277,42,
-371,353,32767,-61,
2681,248,31813,-32,
4881,85,32767,86,
6202,-173,29797,161,
6742,-398,20844,196,
6613,-567,15494,206,
6416,-727,3748,159,
6636,-812,-7352,124,
6279,-767,-12035,133,
4250,-589,-14972,229,
1491,-402,-18934,325,
-948,-246,-29156,272,
-3124,-95,-32768,186,
-5030,80,-31277,131,
-6050,281,-32768,130,
-6468,426,-20796,187,
-6613,464,17356,225,
-6397,477,32767,225,
-6053,572,31865,153,
-5355,649,32116,28,
-3546,656,32767,-62,
-356,610,20787,-29,
3277,443,-6576,99,
6030,129,-26314,175,
7005,-209,-29846,189,
6917,-517,-17277,175,
6740,-857,9670,125,
6678,-1211,30901,90,
6126,-1459,32107,107,
4309,-1581,23785,240,
1419,-1792,1857,364,
-1647,-1649,-25454,320,
-3696,-345,-32768,225,
-4025,1130,-31642,139,
-4077,1960,-32768,113,
-5065,2363,-23945,162,
-6671,2377,-6937,183,
-8028,2183,-88,175,
-7927,1951,4283,119,
-6092,1704,16118,16,
-3145,1497,15983,-40,
-603,1166,7006,13,
1072,626,14564,138,
3920,-13,30711,202,
7173,-591,30692,207,
8331,-929,19135,174,
7628,-1129,14160,120,
7220,-1368,5120,100,
6912,-1498,-11393,124,
5111,-1430,-20228,234,
2633,-1220,-31038,331,
170,-1131,-28831,293,
-2229,-1096,-10698,195,
-4748,-818,8426,109,
-7259,-353,28761,110,
-9187,84,32280,172,
-9734,208,31717,226,
-7382,166,23391,257,
-3168,230,2448,178,
-692,292,-9356,6,
392,307,-12171,-99,
1860,260,-13124,-44,
3887,66,-13631,89,
6408,-234,-19292,172,
8182,-487,-21039,212,
7815,-600,-9437,205,
6291,-606,-5006,153,
4631,-484,3803,112,
1489,-309,26609,120,
-1479,-262,32144,230,
-2040,-181,29990,330,
-1781,55,5834,299,
-2565,339,-30705,225,
-4225,469,-31729,148,
-5367,470,-32768,120,
-5662,489,-16355,137,
-6103,494,27426,157,
-5531,512,32767,176,
-3571,580,30266,139,
-1367,571,32466,40,
1014,428,28428,-9,
2645,254,3744,50,
3711,67,-12107,131,
4627,-168,-8041,143,
5303,-356,4439,135,
6368,-462,14236,112,
7276,-564,1791,86,
7193,-618,-27043,108,
5738,-489,-32768,175,
3291,-257,-32762,294,
-275,-86,-29637,361,
-3364,-14,-5424,300,
-5815,136,8297,238,
-8602,389,6108,169,
-9833,639,-889,111,
-9467,815,-22674,103,
-7913,804,-32341,121,
-4877,747,-32768,135,
-1733,658,-18279,99,
651,425,27384,20,
2368,170,32767,-10,
2906,-22,31374,61,
3120,-121,31870,166,
4827,-235,32607,201,
6495,-415,24081,210,
6714,-587,10066,161,
6285,-691,-5469,77,
5630,-664,-30793,55,
4505,-482,-32768,97,
2736,-321,-31101,237,
859,-333,-32768,336,
-1050,-391,-3128,296,
-2733,-267,32353,220,
-4149,-20,31495,157,
-5122,199,31805,169,
-5801,375,30069,202,
-6872,538,4130,209,
-6380,719,-20131,184,
-4506,800,-28028,108,
-3498,787,-31875,-8,
-2636,834,-32768,-84,
-1436,892,-5029,-15,
438,611,29329,112,
3140,-29,32302,168,
5199,-521,31063,201,
6626,-848,31810,184,
7794,-1135,29959,129,
7897,-1219,31968,85,
7135,-1022,19576,110,
5334,-838,-19011,259,
2239,-782,-32768,359,
-1178,-610,-31351,299,
-3726,-248,-32768,194,
-5453,161,-31360,116,
-6598,523,-32768,104,
-7090,751,-26254,128,
-6537,749,1636,190,
-4540,775,19213,241,
-2285,881,31671,168,
-643,783,25176,14,
133,490,4884,-89,
296,200,-8127,-24,
-114,-6,7384,112,
308,-296,30960,184,
2927,-644,32496,223,
5428,-774,17371,203,
6159,-763,-5423,136,
6828,-819,-10262,101,
6568,-639,-7032,117,
4750,-344,4427,226,
2281,-229,28469,308,
-570,-183,28573,265,
-2833,-41,-17876,207,
-5006,294,-32768,137,
-6547,756,-32768,119,
-7251,1069,-19941,176,
-7553,1031,27735,202,
-6228,885,32459,202,
-3542,849,29536,144,
-967,692,32123,3,
1313,169,2431,-71,
2801,-215,-24589,-4,
3913,-408,-32720,103,
4915,-554,-21563,157,
5108,-551,17972,215,
4949,-650,32590,208,
5051,-795,29234,138,
5237,-737,3053,123,
4624,-516,-15832,185,
2519,-245,1264,301,
-883,-119,-4463,328,
-2563,-130,-7401,234,
-3052,-6,-16953,155,
-5389,292,-32768,121,
-7422,584,-31634,167,
-7556,794,-32768,216,
-6746,804,-9585,234,
-5333,697,25883,221,
-3210,678,32056,134,
-1267,537,31129,15,
-94,222,12685,-10,
1766,-47,4425,71,
3395,-339,-5554,158,
4167,-560,-30035,143,
5361,-696,-32768,75,
6148,-989,-22225,162,
5741,-1326,19910,212,
5887,-1507,32767,128,
6470,-1493,30836,195,
4897,-1264,26943,338,
1735,-771,4866,368,
-1529,-186,-10211,275,
-5215,198,-25512,173,
-7761,351,-32768,105,
-8492,507,-31512,124,
-7993,733,-32768,171,
-6719,865,-31200,203,
-4571,952,-32768,170,
-2356,1035,-29343,47,
-566,1057,20702,-59,
1283,1160,32767,-44,
2775,1349,30120,67,
3900,1372,32767,168,
5214,1178,30496,219,
6736,975,31897,241,
7080,867,2196,198,
6624,887,-31379,144,
6149,982,-32612,128,
4168,926,-32290,163,
1631,761,-32163,256,
-403,652,-32768,299,
-2410,443,-30359,248,
-4349,92,-32768,189,
-6373,-220,-20449,144,
-7552,-396,26650,159,
-7994,-519,32767,192,
-7613,-712,31178,245,
-5265,-974,32767,280,
-2092,-1247,32470,148,
595,-2029,18985,-75,
2696,-2841,-4999,-144,
4237,-2644,-17975,-26,
5006,-2027,-20751,115,
4677,-1514,-9396,189,
3666,-1033,22910,228,
3992,-720,32767,209,
3798,-602,30123,179,
3225,-422,32190,164,
3700,-214,29428,188,
2899,157,20147,287,
1444,641,13528,314,
-396,741,-15538,238,
-2614,689,-32768,171,
-5013,1179,-30228,133,
-7433,1967,-32768,140,
-8249,2099,2775,158,
-7819,1640,32767,176,
-6351,1107,29233,162,
-3032,836,31800,79,
590,701,29039,-36,
2530,366,32549,-57,
3608,-102,12465,60,
4474,-633,-28057,189,
4954,-1106,-32768,219,
3364,-1351,-31814,210,
1404,-1600,-32559,173,
3164,-1772,-32150,135,
6751,-1971,-32434,138,
7485,-1936,-32768,181,
4654,-1433,-31829,264,
1772,-1023,-32179,258,
-978,-583,-22335,174,
-3022,344,4993,140,
-5948,1477,20767,155,
-12341,2045,30235,222,
-12872,1995,32767,231,
-7369,1702,31394,199,
-3591,1197,32514,172,
-1985,583,26064,84,
705,143,14988,-16,
3985,-269,-4694,-36,
5590,-668,-28766,46,
6315,-1181,-31519,153,
6100,-1623,-32768,179,
5212,-1590,-26619,184,
4166,-845,20330,149,
3483,244,32767,52,
4780,1319,28461,-5,
7437,2159,32767,102,
5590,1729,19283,297,
-2137,371,-20204,362,
-5675,-563,-20641,319,
-4465,-735,-22419,238,
-5382,-232,-32768,150,
-8748,489,-32320,111,
-9134,1210,-31685,102,
-5740,1786,-19980,134,
-3030,1931,-22537,157,
-668,1045,-26135,67,
2202,-258,-27426,-72,
5050,-1029,-32768,-80,
6513,-1481,8534,34,
6347,-1103,32767,154,
5255,-241,31247,220,
3290,157,32320,203,
1650,176,32767,141,
2497,-55,28255,117,
1874,-486,-12741,105,
586,-929,-32768,176,
-355,-934,-30546,319,
-3939,-585,-32232,312,
-6345,-240,-31084,177,
-6183,166,-30130,69,
-5760,337,-32768,51,
-5452,281,4051,138,
-4056,-94,32767,227,
-3709,-562,31098,231,
-3544,-550,32767,145,
-1242,122,32627,18,
727,1386,26559,-80,
3217,2668,24116,-58,
2181,3247,13969,79,
-2887,2462,-1617,189,
-1980,633,-16522,188,
4849,-1027,-29716,185,
8528,-1888,-32768,175,
7750,-2347,-20778,115,
5590,-2507,24281,70,
752,-2151,32767,135,
-6007,-1317,32767,269,
-7920,-383,27602,266,
-4177,-46,-10209,188,
230,15,-32768,151,
2588,484,-18219,145,
3315,1000,18152,168,
255,940,32767,170,
-1489,388,30315,188,
-189,-41,7305,176,
-1338,232,-1864,54,
-3233,941,-2653,-56,
-3364,1420,-23077,-50,
90,1603,-31717,52,
948,965,-23392,156,
892,-347,-13924,192,
3930,-935,11653,180,
3736,-1308,32767,134,
3919,-1808,31250,96,
5791,-1277,32767,95,
6883,-308,5877,189,
6230,-2,-16428,323,
1301,-119,1998,328,
-5148,6,7588,228,
-10113,146,-6951,118,
-8300,-323,-10025,84,
-10,-779,-18032,135,
3952,-661,-25814,173,
4979,72,-10799,209,
4519,1132,6489,177,
1857,2389,10043,50,
810,2718,12799,-40,
2964,2077,9374,7,
2103,1082,7428,110,
-3981,-168,2942,156,
-5314,-914,-10818,171,
-1213,-1580,1526,173,
1801,-2199,6178,129,
715,-2037,5545,100,
-1313,-1570,27238,105,
354,-1070,32767,229,
3116,-358,29266,382,
1741,-10,24603,345,
-1992,26,9529,238,
-3806,22,-6073,159,
-5966,-164,-15147,90,
-8212,244,-29221,82,
-6145,870,-32281,101,
-2079,1412,-32768,136,
1826,1874,-28093,167,
4568,1807,14620,87,
3535,1024,32767,-34,
3177,-355,30204,-35,
2064,-996,30994,83,
1005,-779,31795,193,
587,-318,18616,210,
-223,238,1637,180,
358,514,-3572,116,
-1526,265,-26237,80,
-2104,50,-32768,114,
-2930,50,-32768,240,
-3857,-232,-22707,362,
-2850,-890,20300,308,
-995,-1234,32767,181,
947,-937,28345,109,
742,-571,4117,112,
2930,-339,-21050,158,
7027,-267,-14324,175,
6106,-541,12138,181,
605,-324,10255,131,
-369,846,10467,18,
807,1809,18904,-70,
-4211,2336,23438,-31,
-8081,2056,30315,100,
-4355,986,32188,192,
1993,-937,14539,196,
8745,-2502,-27722,140,
7656,-2866,-32572,99,
152,-2505,6284,117,
-1894,-1312,32628,137,
-2217,17,12535,218,
-2917,376,-10936,325,
-3027,-452,-22192,302,
-2977,-825,-31690,220,
-1498,-159,-30136,146,
64,1031,-31621,108,
-1300,1940,-32518,140,
-2109,2089,-32768,176,
311,2030,-27517,176,
2210,1663,-4263,122,
1935,1109,21726,-8,
974,1034,31716,-117,
250,1299,31774,-67,
2655,835,29198,103,
5027,-336,11978,209,
2453,-1559,8383,250,
-682,-2170,19490,225,
-8,-2251,24728,131,
3531,-2038,18773,83,
4557,-1778,-1375,92,
816,-1612,-16753,214,
-2300,-1032,-26697,336,
-4724,-110,-32768,298,
-6130,530,-31218,200,
-4401,682,-32768,115,
-1990,687,-19761,93,
1616,1081,21397,143,
3848,1991,32767,174,
3566,2420,28801,185,
4549,1651,32767,148,
3253,598,21864,16,
-4111,44,-15286,-77,
-6553,17,-15798,-30,
-558,391,4496,84,
3496,148,18330,164,
2249,-799,13148,206,
87,-1799,-3768,205,
-330,-2152,-7005,145,
-283,-1261,-10208,87,
-249,-704,-15317,83,
-1044,-1102,-18316,199,
-1831,-1176,-25805,343,
-2136,-772,-30542,344,
-2016,-279,-27996,234,
-1055,464,-32768,130,
-751,1233,-26005,110,
95,1160,-6128,135,
1855,1065,-4424,146,
597,1292,18366,171,
-918,1410,32767,132,
-1298,1630,31784,4,
-860,1305,23414,-72,
995,474,9728,9,
2320,25,18019,135,
1986,-361,30599,163,
-782,-731,30307,156,
-3839,-1013,31501,141,
-3164,-1488,14185,132,
-928,-1851,-13977,128,
755,-1701,-25689,131,
2185,-1382,-21035,247,
3260,-994,-11657,366,
3282,-632,-11678,318,
2211,-275,-13051,188,
652,334,-19869,100,
19,1000,-21686,112,
257,1498,-9181,162,
-1855,1775,-18955,169,
-4411,1697,-32768,159,
-3043,1461,-21186,115,
-1759,1299,18950,-8,
-1040,1102,32767,-95,
-1165,550,30759,-12,
-873,-326,31518,136,
649,-1009,30993,204,
1301,-1051,27556,215,
1843,-809,8987,185,
4383,-1137,-10390,123,
4163,-1317,-7677,87,
641,-874,-9574,116,
1417,-617,-29928,240,
981,-784,-32663,352,
-5247,-882,-32768,311,
-5880,-716,-21559,210,
-1963,-240,-15092,120,
-598,312,-15766,92,
869,1125,17682,125,
1339,2087,31660,162,
-959,2032,24073,185,
-1381,1367,22106,145,
951,897,15418,31,
2712,398,8267,-67,
2961,468,8871,-43,
1743,306,9713,95,
-1986,-499,8608,195,
-1738,-717,20543,229,
238,-1634,23951,191,
1048,-2904,9234,121,
554,-2694,-10537,87,
-1708,-1461,-27143,118,
-1297,409,-18199,254,
-19,1728,-1080,350,
1111,1370,2782,295,
-360,440,2876,189,
-2478,383,-15977,115,
-2121,691,-32338,101,
82,784,-32768,136,
2151,750,-7855,186,
1921,511,26980,191,
117,361,32384,111,
-153,410,26419,-28,
-360,480,9646,-96,
-90,444,15012,11,
285,138,25232,166,
2401,-470,11056,218,
4197,-916,4351,216,
2347,-1103,6321,178,
83,-1303,3734,125,
-937,-1320,6387,92,
-1599,-1355,308,126,
-616,-1425,-5593,277,
586,-1147,-5968,368,
-1037,-519,-26726,305,
-2019,414,-32768,215,
-2330,1342,-23669,126,
-3597,2275,8287,99,
-2832,2661,32085,151,
-510,1765,27199,203,
1875,937,4505,203,
3535,874,-10679,102,
3335,1154,-10358,-39,
-21,877,-8851,-80,
-606,172,-1813,4,
1874,-326,13812,138,
999,-1043,20480,207,
2068,-1756,15688,218,
2643,-2077,13503,183,
1042,-2134,8794,136,
14,-1985,-6359,123,
-1178,-1569,-17306,132,
-2209,-979,-16194,227,
-3386,-322,-23487,347,
-2626,130,-31753,300,
-245,368,-32768,185,
1155,775,-27804,118,
457,1191,-2029,137,
-1506,1623,14904,194,
-2680,2059,28357,227,
-1887,2010,29482,237,
-736,1497,14279,128,
791,978,10974,-52,
1355,685,13822,-121,
1459,256,15492,-26,
2421,-392,6712,141,
2258,-862,-10308,239,
2294,-1308,17284,271,
2189,-1539,26590,215,
866,-1488,4260,142,
702,-1513,13417,110,
-116,-1396,25203,137,
-2419,-983,11900,278,
-1955,-522,-17467,378,
-765,-136,-32329,317,
-1349,346,-32297,203,
-2624,927,-32065,110,
-3136,1219,-32768,104,
-1641,1160,3860,143,
-638,1191,32767,182,
-1208,1287,28118,202,
-272,1271,32576,115,
2389,1401,12701,-12,
4637,1092,-3291,-45,
4544,204,3522,38,
3422,-548,3426,159,
267,-1067,8099,215,
-3021,-1329,7069,232,
-663,-1433,-252,205,
307,-1355,-13791,151,
-1344,-1171,-22898,117,
693,-1076,-25851,154,
1209,-1012,-32737,305,
-857,-754,-30834,388,
-1967,-244,-19900,309,
-1957,103,-24430,215,
-2104,369,-15306,148,
-2140,908,461,141,
-26,1596,4369,172,
667,2008,14668,193,
398,2168,24542,205,
785,1893,21001,134,
987,1240,16060,-9,
1571,540,16829,-53,
2442,-57,14090,48,
2120,-707,8445,168,
2400,-1400,8159,224,
2058,-1820,11759,241,
1679,-1976,13498,196,
1425,-1866,7489,146,
-1967,-1476,-1910,129,
-5021,-978,-9068,174,
-5439,-578,-15546,308,
-3724,138,-21291,371,
-862,670,-20535,295,
1383,541,-26434,196,
653,644,-32768,134,
-417,1036,-23716,142,
717,1122,-7008,171,
473,907,4385,193,
-256,826,24052,193,
-427,939,28893,115,
798,1166,15775,-2,
2011,1447,18697,-39,
-719,1032,26035,43,
-1476,-123,22317,172,
1018,-974,12865,225,
2400,-1375,10715,221,
3271,-1509,11465,174,
1653,-1510,3329,122,
-191,-1483,-6173,115,
649,-1421,-16323,177,
-1080,-1276,-27949,318,
-3992,-852,-27052,375,
-3723,-311,-17193,299,
-1750,316,-12687,204,
-270,872,-11493,117,
30,1224,-15872,114,
340,1453,-16344,168,
873,1586,-3080,207,
943,1686,2952,198,
305,1546,3112,105,
449,1059,11528,-27,
1488,605,20427,-57,
2472,189,30287,52,
2944,-378,22285,187,
1586,-1007,12882,236,
-125,-1502,14422,227,
-467,-1733,6957,169,
-648,-1800,-5658,113,
-1791,-1641,-19392,89,
-709,-1182,-23891,152,
85,-616,-13184,313,
-858,-129,-8631,386,
-820,189,-17802,302,
-731,444,-23615,186,
-1462,720,-23083,112,
-1891,1040,-17668,141,
-1448,1408,-1508,184,
-1349,1653,16646,188,
-1168,1805,18462,192,
1016,1748,11784,105,
