-704,299,-7448,13507,
-2351,878,-12410,31703,
-2652,716,-4899,30218,
-2052,414,510,27190,
-891,154,5682,21548,
110,47,8437,15621,
595,-92,10325,6598,
374,-275,12294,-3852,
-190,-401,12770,-13775,
-494,-494,11268,-24096,
-252,-752,9615,-31140,
64,-995,9173,-32606,
243,-833,8129,-31752,
565,-624,3874,-25772,
713,-522,-2669,-16470,
615,-282,-7509,-8583,
577,-94,-10476,693,
357,169,-14100,9241,
-279,654,-16704,14851,
-1013,1104,-16408,20373,
-1436,1156,-14206,25286,
-1492,844,-9868,27779,
-1207,743,-4279,27845,
-918,539,119,24049,
-429,164,5007,18997,
154,-114,9501,13480,
317,-482,11671,5815,
290,-545,12069,-2622,
158,-408,11636,-11742,
25,-455,11023,-21310,
555,-558,10152,-27803,
2227,-596,9892,-29596,
4434,-598,7168,-29195,
5908,-593,1751,-27735,
6212,-611,-4203,-25025,
4721,-453,-10267,-17515,
1990,-137,-13974,-5618,
-1013,174,-15461,5229,
-3616,455,-14858,13049,
-4940,697,-14232,20602,
-5065,856,-12886,28443,
-4338,886,-6870,32355,
-2981,774,136,32615,
-1471,518,5046,30447,
-177,286,7705,23550,
556,142,8298,14007,
574,-127,8368,3254,
303,-344,8769,-5794,
-218,-573,10426,-12246,
-654,-790,9862,-19230,
-809,-709,6441,-26059,
-507,-664,6385,-28494,
618,-665,6635,-27114,
2186,-551,2151,-25813,
3226,-329,-3844,-21629,
3283,-35,-8802,-13287,
2503,317,-12561,-4880,
872,601,-14657,3693,
-1361,710,-15665,13011,
-3144,727,-16525,21451,
-4170,723,-13123,28311,
-4002,850,-4415,32486,
-3065,638,2090,31755,
-2025,-230,4882,26497,
-466,-373,7931,19703,
1353,-144,10351,11664,
3213,-203,10852,2501,
4569,-260,11353,-7263,
4780,-550,11001,-17387,
3792,-626,10852,-24872,
1990,-1102,7853,-29272,
-28,-1324,6327,-30689,
-1270,-442,7654,-29090,
-1660,-34,750,-27799,
-1357,-363,-8603,-23659,
-578,-503,-12669,-14148,
406,163,-14056,-1593,
1279,651,-15205,9001,
1670,979,-15464,16380,
1338,1150,-14594,24005,
567,1096,-13191,30396,
-54,861,-7773,32584,
-576,784,-616,32599,
-1059,1066,4682,31562,
-1331,378,9201,23408,
-1339,-416,11315,12278,
-1230,-1240,12081,600,
-1041,-1991,13157,-10103,
-642,-2009,13219,-17610,
-145,-1591,11001,-25570,
349,-777,9549,-31560,
612,80,10235,-32448,
568,423,7193,-31916,
516,161,4,-30983,
553,-18,-9566,-26626,
457,-458,-13999,-17002,
136,309,-13110,-3553,
-152,1832,-14161,7912,
-521,2457,-14436,18844,
-1044,2382,-13142,30170,
-1485,1534,-10309,32767,
-1789,138,-5106,32203,
-1848,-1177,20,32767,
-1507,-1928,4371,25791,
-805,-1737,8259,13906,
-122,-478,10237,5170,
377,152,9072,-1456,
895,50,9965,-6733,
1264,49,11274,-11612,
1531,-14,9298,-17132,
1931,-231,7939,-20565,
2137,-349,7844,-23690,
1948,-365,4580,-28888,
1350,-488,-1167,-30073,
336,-367,-6948,-25865,
-802,24,-11897,-17031,
-1500,295,-14465,-5412,
-1622,641,-14805,4004,
-1540,968,-13655,14117,
-1306,1051,-12694,23693,
-649,916,-10186,28967,
-20,761,-4393,31668,
-37,646,1241,31638,
-171,371,5975,27157,
137,-1,9228,18119,
527,-363,10280,9262,
725,-639,10221,2469,
757,-589,10002,-5790,
