-473,400,-6538,-6173,
-1828,1427,-11978,-9394,
-1966,1093,-7265,-2062,
-1924,1032,-5264,4374,
-1677,1042,-2643,11576,
-1346,494,1954,17611,
-1104,127,6819,21564,
-703,-100,9622,24665,
-131,-350,10352,27419,
507,-529,11876,24358,
923,-631,14038,17253,
1174,-624,14208,10362,
1516,-563,11718,320,
1853,-467,6149,-7545,
2061,-301,-650,-11936,
2115,-76,-6480,-17700,
1956,33,-10001,-22660,
1515,63,-11356,-25238,
677,172,-12388,-25086,
-359,284,-12931,-22448,
-1177,315,-12169,-16084,
-1883,430,-9692,-7775,
-2349,588,-6889,-456,
-2346,589,-5118,6411,
-2077,433,-1824,13223,
-1581,213,3303,19741,
-1101,36,6101,24180,
-723,-167,7994,24656,
-182,-400,12638,23722,
197,-552,14965,21386,
897,-647,14591,14734,
2256,-777,13524,5566,
3108,-861,9675,-2172,
2935,-774,4781,-8154,
2273,-592,-1183,-12090,
1563,-380,-4918,-14873,
802,-126,-6167,-20443,
-230,151,-8662,-25048,
-1223,392,-13350,-26732,
-1570,534,-17397,-24152,
-1271,611,-15050,-16964,
-949,690,-10353,-8632,
-914,697,-7196,441,
-1016,588,-4583,10197,
-1106,409,-510,19190,
-1039,240,5166,23216,
-732,61,9563,23736,
-381,-179,11277,23721,
-269,-376,11809,22210,
117,-505,12240,18929,
1034,-628,11634,16120,
1852,-707,9863,11379,
2255,-690,6779,2400,
2275,-608,3324,-7942,
2018,-480,-281,-17410,
1558,-286,-4244,-25407,
1019,-29,-7939,-28550,
318,342,-10521,-27415,
-545,974,-12238,-26391,
-1170,1250,-12085,-22090,
-1493,907,-9215,-11891,
-1693,609,-7415,-2557,
-1820,166,-6063,5336,
-1883,-382,-4493,13537,
-1696,-667,-2939,21176,
-1328,-831,2576,26042,
-948,-491,8978,25660,
-423,-57,12336,25216,
238,-72,13477,24669,
842,-148,11888,20305,
1262,-240,10588,14535,
1626,-252,9612,5554,
1905,-22,6226,-5264,
1871,-17,2776,-13427,
1615,-109,-1019,-19650,
1288,-117,-4924,-24443,
793,332,-8228,-27162,
144,1364,-10539,-27831,
-315,1502,-12105,-25944,
-762,801,-12702,-21594,
-1284,-155,-11636,-15500,
-1640,-1057,-9270,-7066,
-1826,-1062,-5982,3752,
-1929,-438,-4232,15033,
-1874,118,-1563,22179,
-1472,453,4036,26150,
-878,487,9026,29212,
-197,323,11823,28646,
424,57,14113,25480,
875,-217,14530,20468,
1349,-438,12231,13109,
1674,-570,8718,4830,
1686,-508,4470,-2801,
1598,-359,1378,-11019,
1523,-288,-2147,-19390,
1432,-323,-5722,-25660,
1264,-225,-8231,-28481,
885,94,-10255,-28475,
187,392,-12053,-26184,
-810,560,-12232,-20012,
-1743,613,-10721,-12022,
-2313,617,-7972,-4253,
-2552,614,-4556,4497,
-2562,506,-2280,13626,
-2335,263,-546,20315,
-1560,66,3091,24977,
-364,-81,7797,27499,
816,-304,10750,26835,
1703,-597,13843,23675,
2174,-756,14806,18321,
2350,-791,12146,11598,
2460,-775,8888,3997,
2403,-604,5613,-4578,
1825,-431,1775,-14309,
753,-308,-2400,-22056,
-423,-136,-6657,-23035,
-1302,90,-9012,-20970,
-1763,345,-11169,-22652,
-1792,550,-13061,-24039,
-1452,646,-12126,-18563,
-879,671,-10168,-10135,
-372,650,-7691,-4024,
-49,529,-4905,1882,
1,354,-2034,11359,
