-151,112,-6855,-9785,
-566,84,-18273,-19375,
-1237,316,-21147,-13384,
-1832,537,-22650,-8088,
-2280,639,-21113,-1410,
-2446,535,-16463,5011,
-2332,427,-8507,12328,
-1823,506,-746,19463,
-1008,397,5756,24480,
-247,211,11249,26694,
445,77,14713,25542,
1009,-92,17253,20858,
1439,-280,18899,14282,
1754,-390,18639,6974,
1861,-509,16813,-838,
1784,-681,15980,-9375,
1602,-768,14990,-16815,
1501,-878,9909,-21486,
1345,-983,1537,-23051,
865,-646,-7107,-22386,
121,-124,-13093,-21641,
-687,231,-17477,-19317,
-1322,452,-21548,-13994,
-1867,669,-23058,-7261,
-2294,831,-21211,-10,
-2417,855,-15653,7416,
-2244,826,-7574,14813,
-1750,616,-125,21048,
-1009,304,6243,25133,
-175,57,10940,26560,
597,-79,14234,24634,
1127,-198,17226,19944,
1510,-358,18698,12864,
1762,-533,18302,5859,
1831,-626,16919,-396,
1740,-623,16267,-8561,
1559,-782,14698,-16589,
1472,-1056,9024,-21344,
1302,-873,402,-22962,
777,-499,-7790,-22781,
23,-297,-13414,-22237,
-746,-29,-18578,-19590,
-1390,324,-22691,-13542,
-1944,652,-23096,-5679,
-2310,854,-20886,1480,
-2377,960,-15054,7724,
-2176,897,-6471,14522,
-1615,700,711,20934,
-833,516,6775,25572,
-66,299,11577,27312,
617,43,14486,25449,
1152,-181,16841,20279,
1565,-409,18871,12560,
1793,-670,18757,3751,
1830,-687,16610,-4753,
1718,-625,15890,-12094,
1511,-726,14487,-17680,
1410,-749,8578,-21340,
1201,-821,-824,-22168,
672,-687,-9571,-21236,
-65,-173,-15111,-20933,
-826,179,-20052,-19234,
-1463,391,-23387,-14354,
-1989,693,-22924,-6810,
-2310,991,-20049,1923,
-2361,1113,-13914,10353,
-2114,1008,-5767,18259,
-1505,661,1090,23983,
-706,279,7063,26670,
58,-7,12115,27293,
728,-197,15634,24828,
1236,-428,17595,18682,
1613,-571,18353,10297,
1823,-582,17698,2391,
1854,-623,15930,-5642,
1704,-701,15523,-13291,
1499,-764,13463,-18508,
1428,-729,6662,-22182,
1161,-510,-2050,-22984,
565,-211,-9428,-21908,
-198,17,-15141,-20941,
-953,262,-20178,-17869,
-1550,495,-23069,-11852,
-2042,570,-22971,-4597,
-2326,624,-19963,3400,
-2354,667,-13273,12944,
-2073,619,-5114,20965,
-1404,629,2028,24661,
-622,595,8207,25740,
129,393,12682,25320,
808,66,15627,22960,
1293,-221,17808,17082,
1630,-511,18464,8251,
1831,-813,17225,-232,
1865,-766,15588,-7788,
1675,-688,15052,-14556,
1445,-748,12396,-18976,
1366,-726,5693,-21515,
1104,-551,-2891,-22496,
439,-213,-10588,-21924,
-369,49,-16232,-19208,
-1058,105,-21455,-14139,
-1632,331,-24084,-7926,
-2107,510,-23044,-883,
-2330,312,-19451,6154,
-2276,547,-11872,12473,
-1949,861,-3456,17661,
-1282,712,3121,21048,
-482,521,8601,21886,
265,316,12385,20698,
865,-32,15406,19028,
1309,-277,17995,15975,
1652,-337,18579,9779,
1828,-479,17171,1870,
1808,-588,15168,-6768,
1619,-677,12701,-14855,
1453,-796,7997,-20730,
1350,-809,1581,-23853,
977,-648,-5079,-24075,
322,-378,-10394,-22418,
-410,-49,-14293,-18704,
-1104,421,-17284,-12241,
-1692,746,-18182,-4561,
-2120,798,-16869,2302,
-2314,884,-13915,7825,
-2247,899,-10432,14191,
-1860,727,-5882,20656,
-1166,532,419,24206,
-402,289,6834,23852,
328,17,11111,21247,
928,-239,14822,18268,
1376,-433,18553,13859,
1706,-490,19576,7452,
1853,-559,18291,-565,
1808,-638,15147,-8612,
1629,-689,10399,-14222,
1407,-715,4575,-17684,
1136,-654,-1777,-20712,
660,-435,-7894,-23173,
15,-120,-13173,-23259,
-613,127,-17118,-19272,
-1083,307,-19332,-11862,
-1473,508,-19235,-4264,
-1773,660,-17046,2459,
-1846,709,-13526,8687,
-1664,716,-9505,14525,
-1317,686,-4770,18497,
-943,627,1276,20793,
-490,362,8105,21218,
143,119,13235,19783,
781,38,17109,17805,
1274,-144,19867,13981,
1654,-544,20400,8483,
1893,-875,19149,1845,
1915,-736,15447,-6210,
1723,-615,10044,-13763,
1413,-596,3660,-20173,
962,-446,-3092,-24844,
338,-371,-8673,-25953,
-322,-218,-12773,-23925,
-882,142,-16332,-19361,
-1319,403,-18741,-12551,
-1672,603,-18690,-4468,
-1851,802,-16257,3353,
-1833,874,-12744,10011,
-1595,867,-9108,15541,
-1221,856,-4234,20082,
-822,716,2239,22919,
-296,466,8524,22683,
350,203,13428,21489,
950,-64,17645,19726,
1420,-342,20216,14704,
1779,-588,20233,7194,
2013,-726,18228,-1212,
2049,-753,14152,-9691,
1848,-718,8919,-17096,
1468,-618,2726,-23011,
958,-435,-4218,-25800,
306,-198,-10075,-25793,
-381,4,-13902,-24058,
-954,189,-17130,-18519,
-1370,410,-19156,-10419,
-1712,566,-18618,-2745,
-1907,634,-16003,5253,
-1858,645,-12385,13937,
-1565,662,-8700,20975,
-1180,651,-3537,24221,
-792,519,3188,24628,
-277,291,9399,23925,
369,69,13467,21574,
1001,-103,16736,17175,
1493,-297,19305,10805,
1851,-465,19231,3211,
2033,-584,17086,-4885,
2041,-640,13656,-12317,
1879,-600,9265,-18245,
1511,-522,3271,-22636,
963,-382,-3795,-25164,
238,-199,-9826,-25509,
-547,21,-14245,-22986,
-1196,204,-18226,-16502,
-1635,362,-19973,-8461,
-1981,632,-18732,-2398,
-2176,773,-15741,3631,
-2084,765,-12148,10506,
-1726,724,-8106,16311,
-1226,629,-2072,21132,
-670,498,4817,24042,
-14,345,10380,24083,
686,72,14842,21880,
1276,-175,18832,17381,
1709,-386,20857,10904,
2015,-579,20603,3475,
