216,427,12841,2221,
681,665,20749,11232,
521,362,6226,18677,
455,130,-4365,23814,
450,-205,-14046,26907,
224,-480,-21177,29022,
-201,-690,-27054,29679,
-592,-797,-30899,25207,
-932,-856,-31206,17878,
-1106,-878,-27421,9319,
-942,-785,-20737,-1206,
-488,-586,-12908,-11870,
23,-354,-3950,-20057,
315,-167,5531,-25323,
232,81,13662,-28897,
-82,436,22258,-29517,
-263,766,30822,-25605,
-354,1001,32709,-19161,
-422,1066,32507,-12359,
-227,927,31751,-5751,
243,769,25902,937,
634,693,17164,7466,
684,514,6226,13842,
595,160,-5362,20457,
494,-241,-15121,25188,
384,-538,-23354,27318,
221,-775,-29874,27586,
195,-929,-32026,24540,
314,-971,-30709,18911,
143,-933,-26103,12299,
-241,-778,-20030,2189,
-626,-524,-14464,-10502,
-902,-207,-5416,-22429,
-948,104,7182,-30606,
-696,368,18053,-32768,
-227,607,26415,-31051,
305,788,31980,-26014,
645,903,32572,-18706,
746,976,32400,-11836,
628,881,29550,-6220,
350,745,22881,729,
27,657,14398,9081,
-323,458,3506,16857,
-589,113,-7932,24300,
-666,-288,-17054,30846,
-692,-579,-23656,32584,
-509,-778,-28458,32595,
16,-994,-30248,31335,
351,-1124,-28718,23531,
238,-1013,-24559,12243,
-61,-809,-20074,-88,
-53,-567,-13336,-11409,
220,-185,-3510,-21256,
330,200,7794,-29739,
309,467,19068,-32755,
317,646,27708,-32276,
333,778,32251,-32768,
297,794,32450,-30043,
265,727,32236,-20902,
288,730,28586,-10609,
334,762,21090,-81,
309,668,12368,9505,
210,383,607,16765,
129,20,-11517,22828,
53,-289,-19076,29804,
-66,-508,-23196,32663,
-166,-771,-28942,32636,
-225,-1013,-32242,31176,
-332,-1084,-32672,22103,
-413,-985,-29582,11067,
-411,-755,-13845,62,
-415,-434,-1531,-11056,
-413,-25,2437,-21071,
-358,319,9583,-28342,
-278,503,18783,-31714,
-184,702,25546,-32135,
-85,886,28929,-27264,
17,932,31239,-17876,
97,818,32265,-10925,
196,596,27650,-6167,
302,487,18653,1215,
310,422,12890,9338,
267,233,7563,20331,
232,-68,-5050,30523,
191,-321,-19949,32721,
118,-548,-30512,29623,
38,-774,-32768,26078,
-51,-859,-30434,21101,
