-873,-405,2508,78,
-2756,-879,5651,157,
-2361,-1327,4485,131,
-1866,-1691,3261,132,
-1270,-1839,1620,173,
-495,-1860,-101,246,
379,-1632,-1809,300,
1249,-1210,-3611,314,
1945,-692,-4809,266,
2505,-139,-5107,154,
2892,490,-5262,96,
2955,1116,-5213,182,
2715,1621,-4261,298,
2289,1993,-2772,309,
1746,2223,-1267,263,
980,2298,-188,163,
25,2124,926,-11,
-875,1693,2421,-127,
-1584,1147,3617,-154,
-2147,537,4129,-45,
-2539,-125,4720,121,
-2630,-755,5417,146,
-2417,-1285,4791,127,
-1949,-1646,3446,122,
-1343,-1833,1866,163,
-611,-1848,130,241,
279,-1657,-1588,293,
1164,-1279,-3457,309,
1875,-770,-4782,272,
2440,-228,-5100,161,
2851,385,-5245,89,
2940,1019,-5235,171,
2708,1529,-4372,298,
2281,1890,-2966,318,
1744,2121,-1469,275,
993,2206,-370,183,
45,2053,757,8,
-873,1644,2338,-120,
-1599,1111,3660,-148,
-2186,518,4222,-51,
-2607,-148,4695,118,
-2715,-785,5401,159,
-2518,-1318,4972,138,
-2061,-1685,3689,128,
-1457,-1885,2104,161,
-735,-1927,304,236,
143,-1747,-1491,294,
1035,-1357,-3294,315,
1758,-849,-4567,280,
2328,-319,-4996,176,
2751,287,-5233,98,
2871,917,-5324,164,
2663,1438,-4456,291,
2254,1819,-3009,320,
1734,2067,-1528,274,
1006,2161,-401,186,
65,2024,656,16,
-860,1635,2178,-118,
-1602,1105,3557,-154,
-2200,517,4158,-68,
-2639,-141,4657,103,
-2773,-797,5393,154,
-2591,-1346,4987,141,
-2146,-1725,3701,132,
-1553,-1926,2199,157,
-838,-1968,461,229,
49,-1811,-1324,290,
947,-1435,-3157,315,
1666,-919,-4541,289,
2257,-377,-5025,187,
2709,218,-5197,97,
2862,846,-5268,152,
2687,1384,-4492,281,
2284,1774,-3071,321,
1772,2034,-1517,280,
1070,2154,-351,198,
149,2050,635,32,
-776,1681,2067,-109,
-1535,1153,3447,-153,
-2133,570,4099,-80,
-2591,-86,4527,96,
-2761,-753,5293,156,
-2606,-1309,4982,139,
-2178,-1698,3715,132,
-1589,-1914,2312,154,
-905,-1970,658,227,
-50,-1823,-1092,289,
863,-1461,-2929,316,
1617,-975,-4352,292,
2215,-447,-4907,197,
2685,141,-5088,100,
2858,763,-5193,145,
2695,1307,-4509,276,
2310,1724,-3126,324,
1810,1995,-1602,287,
1126,2128,-437,208,
213,2048,540,46,
-724,1698,1907,-96,
-1497,1185,3318,-146,
-2122,593,4061,-87,
-2605,-63,4508,83,
-2790,-712,5322,155,
-2652,-1276,5123,139,
-2240,-1681,3927,129,
-1662,-1910,2483,149,
-983,-1998,802,217,
-140,-1876,-976,280,
775,-1538,-2831,310,
1539,-1047,-4298,295,
2152,-519,-4906,206,
2638,64,-5081,108,
2834,701,-5236,139,
2701,1255,-4614,266,
2327,1674,-3279,321,
1827,1955,-1778,288,
1160,2094,-540,218,
267,2028,480,62,
-669,1694,1906,-91,
-1447,1189,3333,-151,
-2062,619,4079,-99,
-2557,-16,4504,73,
-2777,-664,5345,157,
-2665,-1233,5172,145,
-2281,-1643,3912,135,
-1721,-1870,2541,148,
-1049,-1958,856,215,
-209,-1863,-886,278,
706,-1527,-2706,312,
1493,-1046,-4202,301,
2112,-535,-4822,214,
2591,35,-4988,109,
2816,663,-5169,130,
2714,1223,-4628,258,
2356,1648,-3300,326,
1874,1944,-1811,297,
1233,2098,-596,229,
358,2048,362,79,
-586,1741,1691,-79,
-1393,1241,3176,-143,
-2027,669,4028,-108,
-2520,27,4396,58,
-2750,-630,5192,158,
-2660,-1206,5302,146,
-2288,-1641,4156,132,
-1729,-1886,2749,141,
-1074,-1980,1106,206,
-261,-1895,-644,268,
655,-1585,-2513,311,
1451,-1110,-4108,308,
2078,-586,-4805,225,
2579,-15,-4978,112,
2820,625,-5157,121,
2727,1194,-4726,249,
2374,1628,-3489,322,
1889,1919,-1957,297,
1270,2076,-655,236,
416,2059,339,92,
-534,1780,1603,-73,
-1352,1295,3045,-148,
-1991,726,3931,-119,
-2499,83,4358,40,
-2760,-581,5242,153,
-2707,-1163,5413,146,
-2360,-1591,4348,136,
-1810,-1843,2999,142,
-1145,-1962,1327,203,
-328,-1903,-436,271,
586,-1610,-2285,313,
1396,-1144,-3986,309,
2022,-616,-4823,237,
2531,-42,-5027,125,
2804,591,-5205,115,
2743,1169,-4800,234,
2419,1618,-3597,321,
1944,1934,-2105,302,
1342,2114,-722,242,
506,2102,307,106,
-453,1828,1520,-61,
-1290,1339,2976,-138,
-1948,764,3860,-124,
-2467,130,4313,28,
-2751,-534,5153,149,
-2724,-1123,5324,142,
-2400,-1570,4312,130,
-1864,-1850,2956,136,
-1219,-1980,1344,195,
-428,-1924,-363,264,
485,-1652,-2213,308,
1323,-1212,-3881,310,
1979,-708,-4721,245,
2506,-146,-4964,132,
2804,483,-5167,112,
2766,1065,-4902,226,
2451,1524,-3779,319,
1983,1858,-2262,307,
1383,2055,-875,249,
552,2072,211,122,
-400,1825,1445,-47,
-1239,1358,2886,-137,
-1896,801,3833,-130,
-2436,173,4322,8,
-2749,-491,5214,155,
-2746,-1094,5519,176,
-2452,-1573,4536,161,
-1924,-1876,3182,160,
-1289,-2016,1572,219,
-512,-1975,-161,289,
399,-1705,-1936,332,
1250,-1251,-3675,334,
1918,-746,-4678,272,
2448,-189,-4975,160,
2764,449,-5207,126,
2754,1053,-5010,238,
2452,1526,-3874,335,
2000,1858,-2328,328,
1431,2067,-955,276,
619,2095,40,155,
-345,1872,1200,-18,
-1222,1408,2723,-112,
-1890,837,3776,-113,
-2420,214,4262,19,
-2748,-444,5085,160,
-2767,-1050,5465,169,
-2479,-1536,4606,157,
-1963,-1847,3271,153,
-1332,-2002,1720,200,
-564,-1989,38,271,
343,-1751,-1812,320,
1194,-1312,-3590,329,
1862,-801,-4573,276,
2406,-238,-4809,160,
2749,402,-5069,116,
2761,1009,-4989,221,
